# The provisional data available here are intended for diverse user applications.
# For data required for a court of law or regulatory purposes, review the information 
# available from the NCEI (https://www.ncdc.noaa.gov/customer-support/certification-data)
# or consult a CCM (http://certifiedmeteorologists.org/find-an-expert-meteorologist.htm).
# STATION: LBNL1
# STATION NAME: Berkeley Lab
# LATITUDE: 37.8771
# LONGITUDE: -122.2486
# ELEVATION [ft]: 888.0
# STATE: CA
Station_ID,Date_Time,pressure_set_1,air_temp_set_1,air_temp_set_2,relative_humidity_set_1,wind_speed_set_1,wind_direction_set_1,wind_gust_set_1,solar_radiation_set_1,precip_accum_fifteen_minute_set_1,volt_set_1,wind_chill_set_1d,wind_cardinal_direction_set_1d,heat_index_set_1d,dew_point_temperature_set_1d,altimeter_set_1d,sea_level_pressure_set_1d,wet_bulb_temp_set_1d
,,Pascals,Celsius,Celsius,%,m/s,Degrees,m/s,W/m**2,Millimeters,volts,Celsius,code,Celsius,Celsius,Pascals,Pascals,Celsius
LBNL1,2024-04-20T05:00:00-0700,98425.0,9.04,8.96,92.23,0.78,218.0,3.51,0.0,0.0,13.17,,SW,,7.83,101646.51,101692.97,8.44
LBNL1,2024-04-20T05:15:00-0700,98425.0,8.89,8.84,92.36,1.11,216.3,3.48,0.0,0.0,13.17,,SW,,7.7,101646.51,101694.79,8.29
LBNL1,2024-04-20T05:30:00-0700,98452.0,8.86,8.79,92.46,1.24,223.0,3.62,0.0,0.0,13.17,,SW,,7.69,101674.4,101723.02,8.28
LBNL1,2024-04-20T05:45:00-0700,98452.0,8.86,8.81,92.29,1.22,229.6,3.89,0.0,0.0,13.17,,SW,,7.66,101674.4,101723.02,8.26
LBNL1,2024-04-20T06:00:00-0700,98452.0,8.71,8.68,92.07,1.44,233.8,3.92,0.0,0.0,13.18,8.25,SW,,7.48,101674.4,101724.84,8.09
LBNL1,2024-04-20T06:15:00-0700,98483.0,8.69,8.64,91.82,0.6,203.3,2.84,0.1,0.0,13.18,,SSW,,7.42,101706.41,101757.08,8.05
LBNL1,2024-04-20T06:30:00-0700,98482.0,8.77,8.71,91.3,0.45,156.8,2.42,1.07,0.0,13.18,,SSE,,7.41,101705.38,101755.07,8.09
LBNL1,2024-04-20T06:45:00-0700,98510.0,8.9,8.77,90.86,1.17,127.1,2.97,6.36,0.0,13.18,,SE,,7.47,101734.3,101782.49,8.18
LBNL1,2024-04-20T07:00:00-0700,98508.0,8.88,8.79,90.62,0.9,131.6,3.38,12.7,0.0,13.18,,SE,,7.41,101732.23,101780.68,8.14
