# The provisional data available here are intended for diverse user applications.
# For data required for a court of law or regulatory purposes, review the information 
# available from the NCEI (https://www.ncdc.noaa.gov/customer-support/certification-data)
# or consult a CCM (http://certifiedmeteorologists.org/find-an-expert-meteorologist.htm).
# STATION: LBNL1
# STATION NAME: Berkeley Lab
# LATITUDE: 37.8771
# LONGITUDE: -122.2486
# ELEVATION [ft]: 888.0
# STATE: CA
Station_ID,Date_Time,pressure_set_1,air_temp_set_1,air_temp_set_2,relative_humidity_set_1,wind_speed_set_1,wind_direction_set_1,wind_gust_set_1,solar_radiation_set_1,precip_accum_fifteen_minute_set_1,volt_set_1,wind_chill_set_1d,wind_cardinal_direction_set_1d,heat_index_set_1d,dew_point_temperature_set_1d,altimeter_set_1d,sea_level_pressure_set_1d,wet_bulb_temp_set_1d
LBNL1,2024-04-20T07:15:00-0700,98534.0,8.91,8.83,90.32,1.06,138.2,3.11,26.62,0.0,13.18,,SE,,7.39,101759.08,101807.16,8.15
LBNL1,2024-04-20T07:30:00-0700,98537.0,9.01,8.87,89.91,1.78,129.5,3.86,41.07,0.0,13.18,8.24,SE,,7.42,101762.18,101809.14,8.2
LBNL1,2024-04-20T07:45:00-0700,98563.0,9.04,8.88,89.3,2.58,133.8,3.92,61.02,0.0,13.18,7.63,SE,,7.35,101789.03,101835.56,8.19
LBNL1,2024-04-20T08:00:00-0700,98591.0,9.18,9.03,88.87,1.82,144.9,4.03,111.3,0.0,13.18,8.4,SE,,7.42,101817.95,101862.86,8.29
LBNL1,2024-04-20T08:15:00-0700,98615.0,9.41,9.21,88.09,1.99,149.7,3.79,152.7,0.0,13.18,8.51,SSE,,7.52,101842.73,101885.03,8.44
LBNL1,2024-04-20T08:30:00-0700,98614.0,9.76,9.53,86.86,2.05,147.1,3.86,188.8,0.0,13.17,8.87,SSE,,7.65,101841.7,101879.9,8.67
LBNL1,2024-04-20T08:45:00-0700,98640.0,9.77,9.63,86.11,2.58,148.0,4.16,190.7,0.0,13.17,8.5,SSE,,7.53,101868.55,101906.63,8.61
LBNL1,2024-04-20T09:00:00-0700,98640.0,10.1,10.1,85.5,2.17,155.6,4.03,415.8,0.0,13.17,,SSE,,7.75,101868.55,101902.74,8.88
LBNL1,2024-04-20T09:15:00-0700,98640.0,10.7,10.5,82.73,2.75,153.4,4.13,470.3,0.0,13.17,,SSE,,7.85,101868.55,101895.75,9.2
LBNL1,2024-04-20T09:30:00-0700,98667.0,11.24,11.17,80.1,1.16,162.0,3.48,518.6,0.0,13.17,,SSE,,7.9,101896.43,101917.39,9.47
LBNL1,2024-04-20T09:45:00-0700,98667.0,11.51,11.46,78.49,0.95,179.0,4.16,563.7,0.0,13.17,,S,,7.86,101896.43,101914.24,9.57
LBNL1,2024-04-20T10:00:00-0700,98694.0,12.02,11.89,76.49,0.78,171.2,3.76,607.2,0.0,13.16,,S,,7.97,101924.32,101936.29,9.85
LBNL1,2024-04-20T10:15:00-0700,98694.0,12.43,12.03,74.31,0.49,207.1,2.84,649.2,0.0,13.13,,SSW,,7.94,101924.32,101931.51,10.02
LBNL1,2024-04-20T10:30:00-0700,98721.0,12.9,12.47,70.89,0.84,186.1,3.14,689.0,0.0,13.11,,S,,7.7,101952.2,101954.04,10.11
LBNL1,2024-04-20T10:45:00-0700,98721.0,13.29,12.73,69.5,0.55,199.2,3.07,726.4,0.0,13.09,,SSW,,7.78,101952.2,101949.59,10.31
LBNL1,2024-04-20T11:00:00-0700,98740.0,13.94,13.37,67.85,0.57,219.6,2.8,760.4,0.0,13.07,,SW,,8.05,101971.82,101961.8,10.73
LBNL1,2024-04-20T11:15:00-0700,98734.0,13.81,13.26,71.25,0.84,230.2,3.28,792.1,0.0,13.07,,SW,,8.65,101965.63,101957.05,10.97
LBNL1,2024-04-20T11:30:00-0700,98751.0,13.91,13.31,73.14,0.63,250.8,2.25,820.0,0.0,13.06,,WSW,,9.14,101983.18,101973.46,11.26
LBNL1,2024-04-20T11:45:00-0700,98749.0,13.99,13.18,73.73,1.63,272.6,4.06,846.0,0.0,13.06,,W,,9.33,101981.12,101970.51,11.39
LBNL1,2024-04-20T12:00:00-0700,98749.0,14.24,13.31,72.55,1.45,268.0,4.47,869.0,0.0,13.06,,W,,9.33,101981.12,101967.67,11.5
LBNL1,2024-04-20T12:15:00-0700,98749.0,14.33,13.52,72.43,0.97,259.0,3.17,888.0,0.0,13.06,,W,,9.39,101981.12,101966.6,11.57
LBNL1,2024-04-20T12:30:00-0700,98749.0,14.9,14.04,70.54,0.87,260.7,3.62,904.0,0.0,13.05,,W,,9.55,101981.12,101960.19,11.88
LBNL1,2024-04-20T12:45:00-0700,98749.0,14.74,14.01,70.03,1.55,250.4,3.86,915.0,0.0,13.04,,WSW,,9.28,101981.12,101962.01,11.68
LBNL1,2024-04-20T13:00:00-0700,98722.0,14.68,14.03,70.23,1.11,255.6,3.76,921.0,0.0,13.04,,WSW,,9.27,101953.23,101934.76,11.65
LBNL1,2024-04-20T13:15:00-0700,98722.0,14.91,14.12,70.49,1.11,249.7,3.34,925.0,0.0,13.03,,WSW,,9.55,101953.23,101932.18,11.89
LBNL1,2024-04-20T13:30:00-0700,98722.0,15.46,14.63,69.04,1.19,259.8,3.72,923.0,0.0,13.02,,W,,9.76,101953.23,101925.98,12.22
LBNL1,2024-04-20T13:45:00-0700,98722.0,15.59,14.59,68.88,1.44,269.9,4.03,917.0,0.0,13.01,,W,,9.85,101953.23,101924.54,12.32
LBNL1,2024-04-20T14:00:00-0700,98722.0,15.58,14.54,69.09,1.06,267.7,3.34,908.0,0.0,13.0,,W,,9.89,101953.23,101924.61,12.34
LBNL1,2024-04-20T14:15:00-0700,98722.0,15.82,14.83,68.02,1.25,271.5,3.59,895.0,0.0,12.99,,W,,9.88,101953.23,101921.98,12.43
LBNL1,2024-04-20T14:30:00-0700,98722.0,15.85,14.88,67.54,1.36,284.1,3.99,878.0,0.0,12.99,,WNW,,9.81,101953.23,101921.61,12.4
LBNL1,2024-04-20T14:45:00-0700,98722.0,15.96,14.97,67.12,1.55,275.2,4.47,857.0,0.0,13.0,,W,,9.82,101953.23,101920.37,12.45
LBNL1,2024-04-20T15:00:00-0700,98722.0,15.71,14.86,67.64,1.36,276.4,4.1,833.0,0.0,12.99,,W,,9.69,101953.23,101923.18,12.29
LBNL1,2024-04-20T15:15:00-0700,98695.0,16.01,15.17,65.52,0.56,278.9,3.76,807.0,0.0,12.99,,W,,9.5,101925.35,101892.0,12.31
LBNL1,2024-04-20T15:30:00-0700,98695.0,16.68,15.83,62.99,0.67,281.6,3.14,777.4,0.0,12.97,,WNW,,9.55,101925.35,101884.43,12.61
LBNL1,2024-04-20T15:45:00-0700,98668.0,16.64,15.97,61.93,1.19,274.3,3.51,742.8,0.0,12.96,,W,,9.26,101897.47,101857.0,12.45
LBNL1,2024-04-20T16:00:00-0700,98668.0,16.96,16.28,61.82,0.87,260.7,3.34,707.8,0.0,12.95,,W,,9.53,101897.47,101853.46,12.71
LBNL1,2024-04-20T16:15:00-0700,98663.0,16.83,16.18,60.94,1.04,277.5,3.68,669.0,0.0,12.94,,W,,9.2,101892.3,101849.73,12.49
LBNL1,2024-04-20T16:30:00-0700,98656.0,16.77,16.1,58.51,1.52,279.0,3.59,628.4,0.0,12.94,,W,,8.53,101885.07,101843.19,12.14
LBNL1,2024-04-20T16:45:00-0700,98655.0,16.26,15.61,56.73,2.51,275.8,4.16,585.6,0.0,12.94,,W,,7.6,101884.04,101847.93,11.49
LBNL1,2024-04-20T17:00:00-0700,98654.0,15.55,15.13,56.03,1.63,240.8,4.1,542.0,0.0,12.94,,WSW,,6.75,101883.01,101854.81,10.8
LBNL1,2024-04-20T17:15:00-0700,98655.0,15.39,14.97,55.46,1.17,226.0,3.45,492.0,0.0,12.94,,SW,,6.45,101884.04,101857.6,10.6
LBNL1,2024-04-20T17:30:00-0700,98655.0,16.19,15.62,53.38,0.41,172.2,1.88,449.1,0.0,12.93,,S,,6.64,101884.04,101848.69,11.02
LBNL1,2024-04-20T17:45:00-0700,98621.0,16.18,15.85,52.47,0.59,225.4,2.05,399.6,0.0,12.93,,SW,,6.38,101848.93,101813.66,10.91
LBNL1,2024-04-20T18:00:00-0700,98616.0,15.78,15.74,53.31,0.26,235.1,1.67,349.3,0.0,12.92,,SW,,6.24,101843.77,101812.97,10.68
LBNL1,2024-04-20T18:15:00-0700,98615.0,15.88,15.87,54.22,0.13,222.7,1.3,296.8,0.0,12.92,,SW,,6.58,101842.73,101810.87,10.86
LBNL1,2024-04-20T18:30:00-0700,98615.0,15.82,15.86,53.06,0.41,221.6,2.32,245.2,0.0,12.92,,SW,,6.21,101842.73,101811.56,10.67
LBNL1,2024-04-20T18:45:00-0700,98615.0,15.79,15.87,50.91,0.2,232.1,1.5,197.5,0.0,12.92,,SW,,5.58,101842.73,101811.83,10.39
LBNL1,2024-04-20T19:00:00-0700,98615.0,15.91,15.92,50.07,0.26,226.7,1.6,123.3,0.0,12.93,,SW,,5.45,101842.73,101810.52,10.39
LBNL1,2024-04-20T19:15:00-0700,98593.0,16.1,16.01,47.43,0.31,245.8,3.31,107.6,0.0,12.94,,WSW,,4.84,101820.01,101785.69,10.22
LBNL1,2024-04-20T19:30:00-0700,98599.0,16.33,16.4,43.15,0.32,174.7,3.79,55.19,0.0,12.95,,S,,3.69,101826.21,101789.3,9.86
LBNL1,2024-04-20T19:45:00-0700,98610.0,16.16,16.2,43.52,0.03,249.7,0.61,18.07,0.0,12.96,,WSW,,3.66,101837.57,101802.63,9.77
LBNL1,2024-04-20T20:00:00-0700,98614.0,16.01,16.23,37.7,0.0,,0.0,4.62,0.0,12.97,,,,1.5,101841.7,101808.4,8.92
LBNL1,2024-04-20T20:15:00-0700,98614.0,16.36,16.55,30.4,0.01,5.06,0.41,0.59,0.0,12.98,,N,,-1.17,101841.7,101804.51,8.22
LBNL1,2024-04-20T20:30:00-0700,98614.0,15.49,15.67,37.24,0.54,256.9,3.55,0.05,0.0,12.99,,WSW,,0.86,101841.7,101814.2,8.46
LBNL1,2024-04-20T20:45:00-0700,98641.0,15.13,15.28,44.62,0.13,242.0,1.84,0.0,0.0,13.01,,WSW,,3.08,101869.58,101846.12,9.09
LBNL1,2024-04-20T21:00:00-0700,98641.0,14.32,14.73,44.42,0.93,312.1,3.96,0.0,0.0,13.02,,NW,,2.27,101869.58,101855.29,8.42
LBNL1,2024-04-20T21:15:00-0700,98668.0,14.41,14.59,48.12,0.03,276.8,0.58,0.0,0.0,13.02,,W,,3.49,101897.47,101882.15,8.93
LBNL1,2024-04-20T21:30:00-0700,98668.0,14.62,14.83,44.95,0.06,158.8,1.13,0.0,0.0,13.04,,SSE,,2.72,101897.47,101879.77,8.73
LBNL1,2024-04-20T21:45:00-0700,98669.0,13.81,14.15,49.48,0.72,114.9,2.15,0.0,0.0,13.04,,ESE,,3.33,101898.5,101889.99,8.59
LBNL1,2024-04-20T22:00:00-0700,98700.0,14.37,14.87,43.28,0.05,96.4,1.09,0.0,0.0,13.05,,E,,1.95,101930.51,101915.7,8.33
LBNL1,2024-04-20T22:15:00-0700,98707.0,15.06,15.49,38.2,0.0,,0.0,0.0,0.0,13.06,,,,0.83,101937.74,101915.1,8.25
LBNL1,2024-04-20T22:30:00-0700,98708.0,14.28,14.52,41.64,0.02,188.0,0.51,0.0,0.0,13.07,,S,,1.33,101938.78,101924.92,8.06
LBNL1,2024-04-20T22:45:00-0700,98709.0,14.19,14.47,45.0,0.47,143.2,1.67,0.0,0.0,13.07,,SE,,2.34,101939.81,101927.01,8.39
LBNL1,2024-04-20T23:00:00-0700,98710.0,13.78,14.08,47.51,0.55,134.6,1.74,0.0,0.0,13.08,,SE,,2.73,101940.84,101932.71,8.34
LBNL1,2024-04-20T23:15:00-0700,98712.0,13.76,13.97,46.37,0.72,128.9,1.57,0.0,0.0,13.08,,SE,,2.37,101942.91,101935.03,8.2
LBNL1,2024-04-20T23:30:00-0700,98718.0,13.51,13.77,49.22,0.67,147.9,2.01,0.0,0.0,13.09,,SSE,,2.98,101949.1,101944.01,8.32
